LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
156,China,2030,0-4,0,5,37006.608,34026.171,71032.779
344,"China, Hong Kong SAR",2030,0-4,0,5,204.247,191.825,396.072
446,"China, Macao SAR",2030,0-4,0,5,16.405,15.688,32.093
158,"China, Taiwan Province of China",2030,0-4,0,5,514.994,486.057,1001.051
170,Colombia,2030,0-4,0,5,1665.276,1590.093,3255.369
174,Comoros,2030,0-4,0,5,68.451,65.949,134.4
178,Congo,2030,0-4,0,5,489.161,479.036,968.197
188,Costa Rica,2030,0-4,0,5,157.067,149.718,306.785
191,Croatia,2030,0-4,0,5,80.514,76.028,156.542
192,Cuba,2030,0-4,0,5,252.127,238.615,490.742
531,Cura̤ao,2030,0-4,0,5,4.701,4.489,9.19
196,Cyprus,2030,0-4,0,5,28.858,27.079,55.937
203,Czechia,2030,0-4,0,5,253.161,239.451,492.612
384,C̫te d'Ivoire,2030,0-4,0,5,2465.411,2431.628,4897.039
408,Dem. People's Republic of Korea,2030,0-4,0,5,861.262,821.186,1682.448
180,Democratic Republic of the Congo,2030,0-4,0,5,9672.948,9485.467,19158.415
208,Denmark,2030,0-4,0,5,174.088,165.068,339.156
262,Djibouti,2030,0-4,0,5,46.725,45.564,92.289
214,Dominican Republic,2030,0-4,0,5,470.975,451.267,922.242
218,Ecuador,2030,0-4,0,5,830.246,792.306,1622.552
818,Egypt,2030,0-4,0,5,6406.606,6059.372,12465.978
222,El Salvador,2030,0-4,0,5,263.909,251.807,515.716
226,Equatorial Guinea,2030,0-4,0,5,122.773,120.584,243.357
232,Eritrea,2030,0-4,0,5,270.769,259.755,530.524
233,Estonia,2030,0-4,0,5,30.175,28.458,58.633
748,Eswatini,2030,0-4,0,5,70.074,68.811,138.885
231,Ethiopia,2030,0-4,0,5,9384.418,9111.496,18495.914
242,Fiji,2030,0-4,0,5,43.602,41.397,84.999
246,Finland,2030,0-4,0,5,124.493,118.567,243.06
250,France,2030,0-4,0,5,1794.983,1714.064,3509.047
254,French Guiana,2030,0-4,0,5,20.434,19.485,39.919
258,French Polynesia,2030,0-4,0,5,9.382,8.938,18.32
266,Gabon,2030,0-4,0,5,163.124,159.847,322.971
270,Gambia,2030,0-4,0,5,241.814,236.93,478.744
268,Georgia,2030,0-4,0,5,111.883,105.704,217.587
276,Germany,2030,0-4,0,5,1958.966,1854.439,3813.405
288,Ghana,2030,0-4,0,5,2327.492,2230.296,4557.788
300,Greece,2030,0-4,0,5,171.498,161.061,332.559
308,Grenada,2030,0-4,0,5,3.849,3.677,7.526
312,Guadeloupe,2030,0-4,0,5,12.041,11.622,23.663
316,Guam,2030,0-4,0,5,6.918,6.549,13.467
320,Guatemala,2030,0-4,0,5,1081.601,1034.395,2115.996
324,Guinea,2030,0-4,0,5,1244.119,1226.961,2471.08
624,Guinea-Bissau,2030,0-4,0,5,169.664,166.563,336.227
328,Guyana,2030,0-4,0,5,34.735,33.154,67.889
332,Haiti,2030,0-4,0,5,622.549,599.409,1221.958
340,Honduras,2030,0-4,0,5,520.546,496.558,1017.104
348,Hungary,2030,0-4,0,5,220.349,208.236,428.585
352,Iceland,2030,0-4,0,5,10.04,9.537,19.577
356,India,2030,0-4,0,5,59915.824,54720.954,114636.778
360,Indonesia,2030,0-4,0,5,11614.083,11108.994,22723.077
364,Iran (Islamic Republic of),2030,0-4,0,5,3230.9,3074.571,6305.471
368,Iraq,2030,0-4,0,5,3113.893,2941.921,6055.814
372,Ireland,2030,0-4,0,5,138.67,132.11,270.78
376,Israel,2030,0-4,0,5,445.419,423.269,868.688
380,Italy,2030,0-4,0,5,1074.997,1011.946,2086.943
388,Jamaica,2030,0-4,0,5,104.374,100.048,204.422
392,Japan,2030,0-4,0,5,2178.149,2063.474,4241.623
400,Jordan,2030,0-4,0,5,502.219,476.842,979.061
398,Kazakhstan,2030,0-4,0,5,829.45,782.933,1612.383
404,Kenya,2030,0-4,0,5,4016.565,3936.059,7952.624
296,Kiribati,2030,0-4,0,5,7.722,7.417,15.139
414,Kuwait,2030,0-4,0,5,130.757,125.333,256.09
417,Kyrgyzstan,2030,0-4,0,5,355.492,337.083,692.575
428,Latvia,2030,0-4,0,5,38.798,36.677,75.475
422,Lebanon,2030,0-4,0,5,222.571,212.238,434.809
426,Lesotho,2030,0-4,0,5,122.378,120.313,242.691
430,Liberia,2030,0-4,0,5,439.542,421.795,861.337
434,Libya,2030,0-4,0,5,282.572,267.463,550.035
440,Lithuania,2030,0-4,0,5,57.099,54.213,111.312
442,Luxembourg,2030,0-4,0,5,17.633,16.839,34.472
450,Madagascar,2030,0-4,0,5,2467.941,2412.533,4880.474
454,Malawi,2030,0-4,0,5,1787.971,1751.989,3539.96
458,Malaysia,2030,0-4,0,5,1316.786,1241.36,2558.146
462,Maldives,2030,0-4,0,5,14.283,13.392,27.675
466,Mali,2030,0-4,0,5,2244.953,2168.61,4413.563
470,Malta,2030,0-4,0,5,10.637,10.043,20.68
474,Martinique,2030,0-4,0,5,9.373,9.022,18.395
478,Mauritania,2030,0-4,0,5,408.72,394.267,802.987
480,Mauritius,2030,0-4,0,5,30.942,29.742,60.684
175,Mayotte,2030,0-4,0,5,20.538,19.951,40.489
928,Melanesia,2030,0-4,0,5,766.94,718.976,1485.916
484,Mexico,2030,0-4,0,5,5242.225,5000.807,10243.032
954,Micronesia,2030,0-4,0,5,27.784,26.441,54.225
496,Mongolia,2030,0-4,0,5,163.199,159.11,322.309
499,Montenegro,2030,0-4,0,5,17.297,16.377,33.674
504,Morocco,2030,0-4,0,5,1589.135,1503.864,3092.999
508,Mozambique,2030,0-4,0,5,3137.364,3115.963,6253.327
104,Myanmar,2030,0-4,0,5,2243.03,2202.589,4445.619
516,Namibia,2030,0-4,0,5,171.602,171.297,342.899
524,Nepal,2030,0-4,0,5,1288.792,1222.804,2511.596
528,Netherlands,2030,0-4,0,5,450.906,429.522,880.428
540,New Caledonia,2030,0-4,0,5,10.141,9.672,19.813
554,New Zealand,2030,0-4,0,5,154.638,146.494,301.132
558,Nicaragua,2030,0-4,0,5,309.991,296.542,606.533
562,Niger,2030,0-4,0,5,3283.825,3158.357,6442.182
566,Nigeria,2030,0-4,0,5,20400.091,19448.825,39848.916
807,North Macedonia,2030,0-4,0,5,48.829,46.357,95.186
578,Norway,2030,0-4,0,5,167.825,158.091,325.916
1835,Oceania (excluding Australia and New Zealand),2030,0-4,0,5,827.057,775.852,1602.909
512,Oman,2030,0-4,0,5,193.581,184.419,378
586,Pakistan,2030,0-4,0,5,14643.556,13665.099,28308.655
591,Panama,2030,0-4,0,5,202.582,193.441,396.023
598,Papua New Guinea,2030,0-4,0,5,630.455,589.131,1219.586
600,Paraguay,2030,0-4,0,5,349.782,334.19,683.972
604,Peru,2030,0-4,0,5,1376.207,1312.887,2689.094
608,Philippines,2030,0-4,0,5,5614.87,5321.278,10936.148
616,Poland,2030,0-4,0,5,799.714,757.539,1557.253
957,Polynesia,2030,0-4,0,5,32.333,30.435,62.768
620,Portugal,2030,0-4,0,5,198.638,187.505,386.143
630,Puerto Rico,2030,0-4,0,5,55.999,53.334,109.333
634,Qatar,2030,0-4,0,5,68.877,65.502,134.379
410,Republic of Korea,2030,0-4,0,5,877.951,829.531,1707.482
498,Republic of Moldova,2030,0-4,0,5,84.698,80.303,165.001
642,Romania,2030,0-4,0,5,429.021,406.011,835.032
643,Russian Federation,2030,0-4,0,5,3780.767,3588.813,7369.58
646,Rwanda,2030,0-4,0,5,1022.067,999.776,2021.843
638,R̩union,2030,0-4,0,5,32.088,31.153,63.241
662,Saint Lucia,2030,0-4,0,5,4.679,4.557,9.236
670,Saint Vincent and the Grenadines,2030,0-4,0,5,3.572,3.479,7.051
882,Samoa,2030,0-4,0,5,12.302,11.409,23.711
678,Sao Tome and Principe,2030,0-4,0,5,18.355,17.949,36.304
682,Saudi Arabia,2030,0-4,0,5,1305.993,1268.792,2574.785
686,Senegal,2030,0-4,0,5,1522.244,1480.411,3002.655
688,Serbia,2030,0-4,0,5,185.694,175.329,361.023
690,Seychelles,2030,0-4,0,5,3.582,3.384,6.966
694,Sierra Leone,2030,0-4,0,5,616.529,612.115,1228.644
702,Singapore,2030,0-4,0,5,128.46,118.882,247.342
703,Slovakia,2030,0-4,0,5,126.399,120.522,246.921
705,Slovenia,2030,0-4,0,5,44.384,42.113,86.497
90,Solomon Islands,2030,0-4,0,5,58.674,55.825,114.499
706,Somalia,2030,0-4,0,5,1815.385,1787.934,3603.319
724,Spain,2030,0-4,0,5,901.193,847.467,1748.66
144,Sri Lanka,2030,0-4,0,5,755.403,726.528,1481.931
275,State of Palestine,2030,0-4,0,5,378.994,361.513,740.507
729,Sudan,2030,0-4,0,5,3732.79,3629.846,7362.636
740,Suriname,2030,0-4,0,5,25.524,24.418,49.942
752,Sweden,2030,0-4,0,5,304.57,287.641,592.211
756,Switzerland,2030,0-4,0,5,229.394,218.592,447.986
760,Syrian Arab Republic,2030,0-4,0,5,1214.819,1160.542,2375.361
762,Tajikistan,2030,0-4,0,5,676.198,639.703,1315.901
764,Thailand,2030,0-4,0,5,1596.454,1504.977,3101.431
626,Timor-Leste,2030,0-4,0,5,95.751,92.288,188.039
768,Togo,2030,0-4,0,5,712.34,707.976,1420.316
776,Tonga,2030,0-4,0,5,6.412,6.092,12.504
780,Trinidad and Tobago,2030,0-4,0,5,37.057,35.878,72.935
788,Tunisia,2030,0-4,0,5,425.71,405.896,831.606
792,Turkey,2030,0-4,0,5,3083.068,2941.147,6024.215
795,Turkmenistan,2030,0-4,0,5,295.964,287.444,583.408
800,Uganda,2030,0-4,0,5,4340.385,4252.997,8593.382
804,Ukraine,2030,0-4,0,5,876.689,827.144,1703.833
784,United Arab Emirates,2030,0-4,0,5,251.305,240.819,492.124
826,United Kingdom,2030,0-4,0,5,1948.889,1855.921,3804.81
834,United Republic of Tanzania,2030,0-4,0,5,6074.123,5944.353,12018.476
850,United States Virgin Islands,2030,0-4,0,5,2.753,2.593,5.346
840,United States of America,2030,0-4,0,5,10634.887,10173.267,20808.154
858,Uruguay,2030,0-4,0,5,113.954,108.787,222.741
860,Uzbekistan,2030,0-4,0,5,1509.096,1424.956,2934.052
548,Vanuatu,2030,0-4,0,5,24.068,22.951,47.019
862,Venezuela (Bolivarian Republic of),2030,0-4,0,5,1347.546,1292.321,2639.867
704,Viet Nam,2030,0-4,0,5,3604.875,3369.593,6974.468
887,Yemen,2030,0-4,0,5,2154.375,2069.245,4223.62
894,Zambia,2030,0-4,0,5,1846.728,1808.082,3654.81
716,Zimbabwe,2030,0-4,0,5,1067.755,1054.879,2122.634
4,Afghanistan,2030,05-Sep,5,5,2949.438,2807.293,5756.731
8,Albania,2030,05-Sep,5,5,78.448,72.399,150.847
12,Algeria,2030,05-Sep,5,5,2328.046,2232.531,4560.577
24,Angola,2030,05-Sep,5,5,3243.623,3194.29,6437.913
28,Antigua and Barbuda,2030,05-Sep,5,5,3.585,3.485,7.07
32,Argentina,2030,05-Sep,5,5,1883.347,1813.592,3696.939
51,Armenia,2030,05-Sep,5,5,93.581,85.66,179.241
533,Aruba,2030,05-Sep,5,5,3.271,3.137,6.408
36,Australia,2030,05-Sep,5,5,880.501,835.02,1715.521
40,Austria,2030,05-Sep,5,5,234.17,222.268,456.438
31,Azerbaijan,2030,05-Sep,5,5,369.739,332.837,702.576
44,Bahamas,2030,05-Sep,5,5,14.105,13.37,27.475
48,Bahrain,2030,05-Sep,5,5,56.78,54.612,111.392
50,Bangladesh,2030,05-Sep,5,5,7013.308,6717.905,13731.213
52,Barbados,2030,05-Sep,5,5,7.626,7.375,15.001
112,Belarus,2030,05-Sep,5,5,263.957,248.535,512.492
56,Belgium,2030,05-Sep,5,5,325.031,310.138,635.169
84,Belize,2030,05-Sep,5,5,20.615,20.082,40.697
204,Benin,2030,05-Sep,5,5,1035.307,1007.797,2043.104
64,Bhutan,2030,05-Sep,5,5,30.899,29.924,60.823
68,Bolivia (Plurinational State of),2030,05-Sep,5,5,607.437,582.392,1189.829
70,Bosnia and Herzegovina,2030,05-Sep,5,5,61.483,58.681,120.164
72,Botswana,2030,05-Sep,5,5,134.145,131.17,265.315
76,Brazil,2030,05-Sep,5,5,6975.73,6660.479,13636.209
96,Brunei Darussalam,2030,05-Sep,5,5,15.128,14.366,29.494
100,Bulgaria,2030,05-Sep,5,5,149.257,141.024,290.281
854,Burkina Faso,2030,05-Sep,5,5,1900.046,1834.265,3734.311
108,Burundi,2030,05-Sep,5,5,1104.401,1086.238,2190.639
132,Cabo Verde,2030,05-Sep,5,5,24.692,24.081,48.773
116,Cambodia,2030,05-Sep,5,5,872.256,835.305,1707.561
120,Cameroon,2030,05-Sep,5,5,2184.473,2148.152,4332.625
124,Canada,2030,05-Sep,5,5,1043.755,992.108,2035.863
148,Chad,2030,05-Sep,5,5,1561.813,1547.676,3109.489
830,Channel Islands,2030,05-Sep,5,5,4.607,4.368,8.975
152,Chile,2030,05-Sep,5,5,560.063,538.933,1098.996
156,China,2030,05-Sep,5,5,40024.719,36167.828,76192.547
344,"China, Hong Kong SAR",2030,05-Sep,5,5,200.068,186.714,386.782
446,"China, Macao SAR",2030,05-Sep,5,5,18.509,17.723,36.232
158,"China, Taiwan Province of China",2030,05-Sep,5,5,530.008,494.489,1024.497
170,Colombia,2030,05-Sep,5,5,1771.59,1692.061,3463.651
174,Comoros,2030,05-Sep,5,5,64.238,62.019,126.257
178,Congo,2030,05-Sep,5,5,442.434,433.979,876.413
188,Costa Rica,2030,05-Sep,5,5,167.765,160.011,327.776
191,Croatia,2030,05-Sep,5,5,85.875,81.085,166.96
192,Cuba,2030,05-Sep,5,5,269.274,254.876,524.15
531,Cura̤ao,2030,05-Sep,5,5,4.686,4.485,9.171
196,Cyprus,2030,05-Sep,5,5,30.879,29.076,59.955
203,Czechia,2030,05-Sep,5,5,271.145,256.614,527.759
384,C̫te d'Ivoire,2030,05-Sep,5,5,2231.52,2208.068,4439.588
408,Dem. People's Republic of Korea,2030,05-Sep,5,5,886.028,844.958,1730.986
180,Democratic Republic of the Congo,2030,05-Sep,5,5,8568.336,8426.846,16995.182
208,Denmark,2030,05-Sep,5,5,169.66,160.913,330.573
262,Djibouti,2030,05-Sep,5,5,48.161,47.183,95.344
214,Dominican Republic,2030,05-Sep,5,5,489.532,469.737,959.269
218,Ecuador,2030,05-Sep,5,5,844.638,806.616,1651.254
818,Egypt,2030,05-Sep,5,5,6378.987,6035.014,12414.001
222,El Salvador,2030,05-Sep,5,5,278.947,265.677,544.624
226,Equatorial Guinea,2030,05-Sep,5,5,111.019,109.122,220.141
232,Eritrea,2030,05-Sep,5,5,253.236,243.65,496.886
233,Estonia,2030,05-Sep,5,5,33.224,31.339,64.563
748,Eswatini,2030,05-Sep,5,5,68.901,67.864,136.765
231,Ethiopia,2030,05-Sep,5,5,8947.754,8718.7,17666.454
242,Fiji,2030,05-Sep,5,5,44.302,42.089,86.391
246,Finland,2030,05-Sep,5,5,127.676,121.651,249.327
250,France,2030,05-Sep,5,5,1832.046,1749.484,3581.53
254,French Guiana,2030,05-Sep,5,5,19.34,18.454,37.794
258,French Polynesia,2030,05-Sep,5,5,9.758,9.295,19.053
266,Gabon,2030,05-Sep,5,5,160.796,157.948,318.744
270,Gambia,2030,05-Sep,5,5,219.498,215.307,434.805
268,Georgia,2030,05-Sep,5,5,121.216,114.518,235.734
276,Germany,2030,05-Sep,5,5,2036.056,1928.832,3964.888
288,Ghana,2030,05-Sep,5,5,2201.453,2112.362,4313.815
300,Greece,2030,05-Sep,5,5,183.1,171.934,355.034
308,Grenada,2030,05-Sep,5,5,4.258,4.066,8.324
312,Guadeloupe,2030,05-Sep,5,5,11.236,10.875,22.111
316,Guam,2030,05-Sep,5,5,6.894,6.529,13.423
320,Guatemala,2030,05-Sep,5,5,1072.505,1026.688,2099.193
324,Guinea,2030,05-Sep,5,5,1134.302,1118.908,2253.21
624,Guinea-Bissau,2030,05-Sep,5,5,158.173,155.745,313.918
328,Guyana,2030,05-Sep,5,5,36.137,34.299,70.436
332,Haiti,2030,05-Sep,5,5,620.338,598.834,1219.172
340,Honduras,2030,05-Sep,5,5,523.443,499.829,1023.272
348,Hungary,2030,05-Sep,5,5,229.088,216.561,445.649
352,Iceland,2030,05-Sep,5,5,10.3,9.788,20.088
356,India,2030,05-Sep,5,5,60512.36,54920.827,115433.187
360,Indonesia,2030,05-Sep,5,5,11760.818,11253.613,23014.431
364,Iran (Islamic Republic of),2030,05-Sep,5,5,3564.904,3393.172,6958.076
368,Iraq,2030,05-Sep,5,5,2933.917,2774.295,5708.212
372,Ireland,2030,05-Sep,5,5,147.382,140.475,287.857
376,Israel,2030,05-Sep,5,5,437.323,415.758,853.081
380,Italy,2030,05-Sep,5,5,1107.062,1042.852,2149.914
388,Jamaica,2030,05-Sep,5,5,110.972,106.54,217.512
392,Japan,2030,05-Sep,5,5,2262.711,2144.016,4406.727
400,Jordan,2030,05-Sep,5,5,490.437,464.244,954.681
398,Kazakhstan,2030,05-Sep,5,5,876.389,827.613,1704.002
404,Kenya,2030,05-Sep,5,5,3764.197,3694.941,7459.138
296,Kiribati,2030,05-Sep,5,5,7.706,7.413,15.119
414,Kuwait,2030,05-Sep,5,5,127.777,122.553,250.33
417,Kyrgyzstan,2030,05-Sep,5,5,367.178,348.477,715.655
428,Latvia,2030,05-Sep,5,5,44.614,42.125,86.739
422,Lebanon,2030,05-Sep,5,5,226.349,216.805,443.154
426,Lesotho,2030,05-Sep,5,5,117.959,116.911,234.87
430,Liberia,2030,05-Sep,5,5,402.196,386.588,788.784
434,Libya,2030,05-Sep,5,5,299.702,283.943,583.645
440,Lithuania,2030,05-Sep,5,5,64.152,60.829,124.981
442,Luxembourg,2030,05-Sep,5,5,18.137,17.337,35.474
450,Madagascar,2030,05-Sep,5,5,2265.157,2220.722,4485.879
454,Malawi,2030,05-Sep,5,5,1623.805,1594.817,3218.622
458,Malaysia,2030,05-Sep,5,5,1365.531,1286.485,2652.016
462,Maldives,2030,05-Sep,5,5,16.309,15.34,31.649
466,Mali,2030,05-Sep,5,5,1973.398,1912.653,3886.051
470,Malta,2030,05-Sep,5,5,11.202,10.579,21.781
474,Martinique,2030,05-Sep,5,5,8.958,8.624,17.582
478,Mauritania,2030,05-Sep,5,5,374.192,361.749,735.941
480,Mauritius,2030,05-Sep,5,5,31.717,30.499,62.216
175,Mayotte,2030,05-Sep,5,5,19.258,18.712,37.97
928,Melanesia,2030,05-Sep,5,5,729.417,684.281,1413.698
484,Mexico,2030,05-Sep,5,5,5428.489,5179.57,10608.059
954,Micronesia,2030,05-Sep,5,5,27.408,26.08,53.488
496,Mongolia,2030,05-Sep,5,5,172.958,168.708,341.666
499,Montenegro,2030,05-Sep,5,5,18.162,17.029,35.191
504,Morocco,2030,05-Sep,5,5,1639.796,1553.486,3193.282
508,Mozambique,2030,05-Sep,5,5,2837.384,2824.263,5661.647
104,Myanmar,2030,05-Sep,5,5,2242.155,2206.246,4448.401
516,Namibia,2030,05-Sep,5,5,168.288,168.408,336.696
524,Nepal,2030,05-Sep,5,5,1383.519,1317.723,2701.242
528,Netherlands,2030,05-Sep,5,5,451.768,430.501,882.269
540,New Caledonia,2030,05-Sep,5,5,10.104,9.645,19.749
554,New Zealand,2030,05-Sep,5,5,157.457,149.389,306.846
558,Nicaragua,2030,05-Sep,5,5,319.095,304.497,623.592
562,Niger,2030,05-Sep,5,5,2781.619,2685.87,5467.489
566,Nigeria,2030,05-Sep,5,5,18219.675,17418.023,35637.698
807,North Macedonia,2030,05-Sep,5,5,52.74,50.084,102.824
578,Norway,2030,05-Sep,5,5,165.111,155.28,320.391
1835,Oceania (excluding Australia and New Zealand),2030,05-Sep,5,5,788.788,740.365,1529.153
512,Oman,2030,05-Sep,5,5,215.361,205.285,420.646
586,Pakistan,2030,05-Sep,5,5,14497.466,13475.13,27972.596
591,Panama,2030,05-Sep,5,5,201.399,192.52,393.919
598,Papua New Guinea,2030,05-Sep,5,5,597.28,558.862,1156.142
600,Paraguay,2030,05-Sep,5,5,355.762,340.19,695.952
604,Peru,2030,05-Sep,5,5,1432.332,1368.524,2800.856
608,Philippines,2030,05-Sep,5,5,5525.817,5241.271,10767.088
616,Poland,2030,05-Sep,5,5,880.671,834.356,1715.027
957,Polynesia,2030,05-Sep,5,5,31.963,30.004,61.967
620,Portugal,2030,05-Sep,5,5,200.698,189.482,390.18
630,Puerto Rico,2030,05-Sep,5,5,51.925,49.587,101.512
634,Qatar,2030,05-Sep,5,5,73.746,69.35,143.096
410,Republic of Korea,2030,05-Sep,5,5,896.009,846.42,1742.429
498,Republic of Moldova,2030,05-Sep,5,5,94.657,89.797,184.454
642,Romania,2030,05-Sep,5,5,448.296,424.347,872.643
643,Russian Federation,2030,05-Sep,5,5,4222.507,4009.656,8232.163
646,Rwanda,2030,05-Sep,5,5,981.584,961.909,1943.493
638,R̩union,2030,05-Sep,5,5,31.865,30.868,62.733
662,Saint Lucia,2030,05-Sep,5,5,5.139,5.008,10.147
670,Saint Vincent and the Grenadines,2030,05-Sep,5,5,3.737,3.64,7.377
882,Samoa,2030,05-Sep,5,5,11.844,10.983,22.827
678,Sao Tome and Principe,2030,05-Sep,5,5,16.772,16.412,33.184
682,Saudi Arabia,2030,05-Sep,5,5,1417.282,1377.065,2794.347
686,Senegal,2030,05-Sep,5,5,1405.28,1368.741,2774.021
688,Serbia,2030,05-Sep,5,5,197.869,186.81,384.679
690,Seychelles,2030,05-Sep,5,5,3.75,3.545,7.295
694,Sierra Leone,2030,05-Sep,5,5,586.17,582.206,1168.376
702,Singapore,2030,05-Sep,5,5,135.252,124.853,260.105
703,Slovakia,2030,05-Sep,5,5,136.473,130.185,266.658
705,Slovenia,2030,05-Sep,5,5,47.926,45.48,93.406
90,Solomon Islands,2030,05-Sep,5,5,55.06,52.158,107.218
706,Somalia,2030,05-Sep,5,5,1565.111,1547.666,3112.777
724,Spain,2030,05-Sep,5,5,953.797,897.26,1851.057
144,Sri Lanka,2030,05-Sep,5,5,767.632,741.097,1508.729
275,State of Palestine,2030,05-Sep,5,5,366.707,349.88,716.587
729,Sudan,2030,05-Sep,5,5,3406.847,3322.181,6729.028
740,Suriname,2030,05-Sep,5,5,26.139,24.778,50.917
752,Sweden,2030,05-Sep,5,5,315.093,297.707,612.8
756,Switzerland,2030,05-Sep,5,5,235.215,224.342,459.557
760,Syrian Arab Republic,2030,05-Sep,5,5,1369.196,1307.436,2676.632
762,Tajikistan,2030,05-Sep,5,5,674.513,638.327,1312.84
764,Thailand,2030,05-Sep,5,5,1708.068,1611.073,3319.141
626,Timor-Leste,2030,05-Sep,5,5,93.379,90.143,183.522
768,Togo,2030,05-Sep,5,5,646.271,643.192,1289.463
776,Tonga,2030,05-Sep,5,5,6.181,5.867,12.048
780,Trinidad and Tobago,2030,05-Sep,5,5,39.81,38.571,78.381
788,Tunisia,2030,05-Sep,5,5,469.118,447.493,916.611
792,Turkey,2030,05-Sep,5,5,3209.668,3065.185,6274.853
795,Turkmenistan,2030,05-Sep,5,5,311.813,303.37,615.183
800,Uganda,2030,05-Sep,5,5,4033.809,3962.583,7996.392
804,Ukraine,2030,05-Sep,5,5,947.795,894.678,1842.473
784,United Arab Emirates,2030,05-Sep,5,5,260.655,250.004,510.659
826,United Kingdom,2030,05-Sep,5,5,2005.274,1909.935,3915.209
834,United Republic of Tanzania,2030,05-Sep,5,5,5404.314,5295.463,10699.777
850,United States Virgin Islands,2030,05-Sep,5,5,2.849,2.683,5.532
840,United States of America,2030,05-Sep,5,5,10447.753,10001.658,20449.411
858,Uruguay,2030,05-Sep,5,5,116.903,111.671,228.574
860,Uzbekistan,2030,05-Sep,5,5,1610.507,1520.219,3130.726
548,Vanuatu,2030,05-Sep,5,5,22.671,21.527,44.198
862,Venezuela (Bolivarian Republic of),2030,05-Sep,5,5,1279.981,1226.344,2506.325
704,Viet Nam,2030,05-Sep,5,5,3823.474,3497.033,7320.507
887,Yemen,2030,05-Sep,5,5,2117.516,2035.394,4152.91
894,Zambia,2030,05-Sep,5,5,1648.998,1618.532,3267.53
716,Zimbabwe,2030,05-Sep,5,5,1022.205,1010.703,2032.908
4,Afghanistan,2030,Oct-14,10,5,2854.989,2719.648,5574.637
8,Albania,2030,Oct-14,10,5,84.085,77.258,161.343
12,Algeria,2030,Oct-14,10,5,2558.744,2456.208,5014.952
24,Angola,2030,Oct-14,10,5,2855.005,2815.455,5670.46
28,Antigua and Barbuda,2030,Oct-14,10,5,3.72,3.618,7.338
32,Argentina,2030,Oct-14,10,5,1899.349,1830.056,3729.405
51,Armenia,2030,Oct-14,10,5,107.047,96.5,203.547
533,Aruba,2030,Oct-14,10,5,3.133,3.031,6.164
36,Australia,2030,Oct-14,10,5,924.657,879.92,1804.577
40,Austria,2030,Oct-14,10,5,233.572,221.09,454.662
31,Azerbaijan,2030,Oct-14,10,5,433.299,388.058,821.357
44,Bahamas,2030,Oct-14,10,5,13.979,13.254,27.233
48,Bahrain,2030,Oct-14,10,5,55.1,53.865,108.965
50,Bangladesh,2030,Oct-14,10,5,7259.238,6946.885,14206.123
52,Barbados,2030,Oct-14,10,5,7.654,7.406,15.06
112,Belarus,2030,Oct-14,10,5,277.358,270.802,548.16
56,Belgium,2030,Oct-14,10,5,336.815,317.982,654.797
